"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "XML", "JavaScript", "SCSS", "Less", "comment", "blank", "total"
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\add-general\add-general.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\add-general\add-general.component.html", "HTML", 61, 0, 0, 0, 0, 0, 0, 0, 9, 9, 79
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\add-general\add-general.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\add-general\add-general.component.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 4, 10, 67
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general-routing.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general.component.html", "HTML", 83, 0, 0, 0, 0, 0, 0, 0, 4, 8, 95
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general.component.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 2, 7, 52
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\general\general.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\create-new-reason\create-new-reason.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\create-new-reason\create-new-reason.component.html", "HTML", 77, 0, 0, 0, 0, 0, 0, 0, 3, 12, 92
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\create-new-reason\create-new-reason.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\create-new-reason\create-new-reason.component.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason-routing.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason.component.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason.component.html", "HTML", 92, 0, 0, 0, 0, 0, 0, 0, 7, 17, 116
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason.component.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 10, 54
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\reason\reason.module.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\create-new-service\create-new-service.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\create-new-service\create-new-service.component.html", "HTML", 52, 0, 0, 0, 0, 0, 0, 0, 6, 12, 70
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\create-new-service\create-new-service.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\create-new-service\create-new-service.component.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 5, 28
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service-routing.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service.component.html", "HTML", 64, 0, 0, 0, 0, 0, 0, 0, 3, 6, 73
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service.component.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\master\service\service.module.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\CptModel.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\Employee.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\PatientCPT.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\PatientICD.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\address.model.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\care-provider.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\co-pay.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\co-pay.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\coding.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\communication.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\doctor-information.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\document.model.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\encountermodel.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\extension.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\file-to-upload.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\identifier.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\language.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\marital-status.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\model-adapter.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\office-calendar-reasons.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\office-calendar-reasons.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\other-save.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\other-save.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\others.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\others.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-Procedure-upload.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-allergies-coding.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-allergies-entry.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-allergies-substance.model.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-allergies.model.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-diagnosis.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-doctor-list.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-family.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-immunizations.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-insuranceinfo.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-name.model.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-procedures.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient-social.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patient.model.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 8, 71
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\patientemployee.model.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\prescriptionsModel.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\stay-period.model.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\telecom.model.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\toFormData.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\toResponseBody.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\upload-operators.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\user.model.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\models\value-codeable-concept.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
